Month,vacation: (Poland)
2004-01,0
2004-02,86
2004-03,0
2004-04,100
2004-05,57
2004-06,0
2004-07,78
2004-08,65
2004-09,47
2004-10,54
2004-11,62
2004-12,67
2005-01,45
2005-02,78
2005-03,0
2005-04,42
2005-05,59
2005-06,47
2005-07,83
2005-08,76
2005-09,50
2005-10,27
2005-11,0
2005-12,28
2006-01,30
2006-02,34
2006-03,54
2006-04,60
2006-05,51
2006-06,50
2006-07,76
2006-08,64
2006-09,53
2006-10,48
2006-11,59
2006-12,57
2007-01,68
2007-02,74
2007-03,71
2007-04,64
2007-05,75
2007-06,78
2007-07,75
2007-08,56
2007-09,44
2007-10,38
2007-11,37
2007-12,40
2008-01,49
2008-02,47
2008-03,40
2008-04,38
2008-05,40
2008-06,50
2008-07,64
2008-08,53
2008-09,36
2008-10,48
2008-11,40
2008-12,25
2009-01,33
2009-02,31
2009-03,18
2009-04,22
2009-05,27
2009-06,35
2009-07,50
2009-08,45
2009-09,23
2009-10,18
2009-11,24
2009-12,24
2010-01,27
2010-02,35
2010-03,33
2010-04,33
2010-05,30
2010-06,42
2010-07,46
2010-08,44
2010-09,29
2010-10,24
2010-11,28
2010-12,34
2011-01,32
2011-02,28
2011-03,28
2011-04,27
2011-05,29
2011-06,45
2011-07,65
2011-08,48
2011-09,24
2011-10,29
2011-11,26
2011-12,38
2012-01,25
2012-02,30
2012-03,27
2012-04,28
2012-05,69
2012-06,47
2012-07,56
2012-08,41
2012-09,35
2012-10,25
2012-11,22
2012-12,31
2013-01,27
2013-02,29
2013-03,24
2013-04,27
2013-05,29
2013-06,34
2013-07,47
2013-08,38
2013-09,23
2013-10,20
2013-11,24
2013-12,34
2014-01,28
2014-02,22
2014-03,23
2014-04,25
2014-05,28
2014-06,37
2014-07,43
2014-08,38
2014-09,29
2014-10,23
2014-11,27
2014-12,33
2015-01,26
2015-02,26
2015-03,24
2015-04,28
2015-05,40
2015-06,45
2015-07,53
2015-08,50
2015-09,64
2015-10,58
2015-11,49
2015-12,66
2016-01,46
2016-02,32
2016-03,34
2016-04,30
2016-05,36
2016-06,47
2016-07,58
2016-08,57
2016-09,35
2016-10,30
2016-11,26
2016-12,41
2017-01,33
2017-02,30
2017-03,26
2017-04,24
2017-05,38
2017-06,38
2017-07,45
2017-08,38
2017-09,30
2017-10,24
2017-11,23
2017-12,33
2018-01,30
2018-02,24
2018-03,29
2018-04,41
2018-05,35
2018-06,46
2018-07,47
2018-08,47
2018-09,37
2018-10,32
2018-11,28
2018-12,36
2019-01,37
2019-02,35
2019-03,33
2019-04,37
2019-05,38
2019-06,53
2019-07,55
2019-08,54
2019-09,39
2019-10,28
2019-11,36
2019-12,41
2020-01,37
2020-02,37
2020-03,33
2020-04,27
2020-05,30
2020-06,43
2020-07,51
2020-08,47
2020-09,33
2020-10,24
2020-11,25
2020-12,32
2021-01,30
2021-02,35
2021-03,30
2021-04,36
2021-05,44
2021-06,54
2021-07,69
2021-08,64
2021-09,48
2021-10,33
2021-11,37
2021-12,60
2022-01,55
2022-02,48
2022-03,40
2022-04,48
2022-05,53
2022-06,70
2022-07,73
2022-08,72
2022-09,49
2022-10,37
2022-11,40
2022-12,46
2023-01,49
2023-02,37
2023-03,50
2023-04,51
2023-05,54
2023-06,63
2023-07,74
2023-08,71
2023-09,58
2023-10,43
2023-11,41
2023-12,57
2024-01,52
2024-02,61
2024-03,59
