
Month,vacation: (Great Britain)
2004-01,41
2004-02,37
2004-03,43
2004-04,40
2004-05,39
2004-06,37
2004-07,41
2004-08,35
2004-09,31
2004-10,29
2004-11,25
2004-12,33
2005-01,42
2005-02,31
2005-03,31
2005-04,29
2005-05,24
2005-06,29
2005-07,27
2005-08,27
2005-09,22
2005-10,20
2005-11,19
2005-12,22
2006-01,28
2006-02,24
2006-03,26
2006-04,23
2006-05,22
2006-06,26
2006-07,27
2006-08,23
2006-09,23
2006-10,21
2006-11,19
2006-12,25
2007-01,28
2007-02,24
2007-03,23
2007-04,23
2007-05,22
2007-06,23
2007-07,24
2007-08,25
2007-09,20
2007-10,20
2007-11,19
2007-12,23
2008-01,28
2008-02,23
2008-03,23
2008-04,21
2008-05,22
2008-06,25
2008-07,25
2008-08,28
2008-09,19
2008-10,18
2008-11,18
2008-12,20
2009-01,24
2009-02,21
2009-03,20
2009-04,19
2009-05,17
2009-06,19
2009-07,21
2009-08,20
2009-09,18
2009-10,17
2009-11,16
2009-12,17
2010-01,22
2010-02,20
2010-03,20
2010-04,19
2010-05,18
2010-06,20
2010-07,21
2010-08,20
2010-09,16
2010-10,17
2010-11,15
2010-12,17
2011-01,25
2011-02,21
2011-03,18
2011-04,20
2011-05,19
2011-06,19
2011-07,22
2011-08,19
2011-09,18
2011-10,17
2011-11,17
2011-12,22
2012-01,23
2012-02,20
2012-03,18
2012-04,20
2012-05,23
2012-06,20
2012-07,21
2012-08,21
2012-09,20
2012-10,18
2012-11,16
2012-12,20
2013-01,22
2013-02,19
2013-03,18
2013-04,18
2013-05,17
2013-06,19
2013-07,20
2013-08,18
2013-09,16
2013-10,16
2013-11,17
2013-12,21
2014-01,20
2014-02,18
2014-03,16
2014-04,17
2014-05,17
2014-06,18
2014-07,22
2014-08,21
2014-09,17
2014-10,18
2014-11,16
2014-12,22
2015-01,23
2015-02,20
2015-03,18
2015-04,20
2015-05,25
2015-06,20
2015-07,23
2015-08,50
2015-09,31
2015-10,25
2015-11,24
2015-12,31
2016-01,28
2016-02,25
2016-03,22
2016-04,21
2016-05,20
2016-06,20
2016-07,27
2016-08,23
2016-09,19
2016-10,19
2016-11,21
2016-12,35
2017-01,22
2017-02,23
2017-03,19
2017-04,20
2017-05,18
2017-06,19
2017-07,24
2017-08,21
2017-09,19
2017-10,21
2017-11,20
2017-12,32
2018-01,23
2018-02,19
2018-03,18
2018-04,27
2018-05,25
2018-06,21
2018-07,22
2018-08,24
2018-09,20
2018-10,21
2018-11,24
2018-12,35
2019-01,28
2019-02,19
2019-03,20
2019-04,21
2019-05,21
2019-06,22
2019-07,25
2019-08,23
2019-09,33
2019-10,49
2019-11,60
2019-12,100
2020-01,79
2020-02,72
2020-03,59
2020-04,54
2020-05,59
2020-06,70
2020-07,95
2020-08,83
2020-09,74
2020-10,73
2020-11,79
2020-12,89
2021-01,67
2021-02,53
2021-03,50
2021-04,19
2021-05,21
2021-06,24
2021-07,24
2021-08,26
2021-09,25
2021-10,24
2021-11,24
2021-12,52
2022-01,31
2022-02,27
2022-03,25
2022-04,24
2022-05,23
2022-06,31
2022-07,30
2022-08,32
2022-09,29
2022-10,27
2022-11,25
2022-12,41
2023-01,27
2023-02,23
2023-03,25
2023-04,23
2023-05,22
2023-06,25
2023-07,26
2023-08,31
2023-09,27
2023-10,26
2023-11,27
2023-12,48
2024-01,26
2024-02,27
2024-03,23
