
Month,vacation: (United States of America)
2004-01,100
2004-02,87
2004-03,81
2004-04,78
2004-05,85
2004-06,93
2004-07,95
2004-08,77
2004-09,59
2004-10,58
2004-11,56
2004-12,63
2005-01,99
2005-02,89
2005-03,90
2005-04,77
2005-05,79
2005-06,90
2005-07,90
2005-08,70
2005-09,54
2005-10,52
2005-11,53
2005-12,59
2006-01,88
2006-02,74
2006-03,77
2006-04,71
2006-05,74
2006-06,85
2006-07,86
2006-08,66
2006-09,57
2006-10,53
2006-11,54
2006-12,59
2007-01,90
2007-02,77
2007-03,76
2007-04,72
2007-05,75
2007-06,87
2007-07,83
2007-08,67
2007-09,55
2007-10,51
2007-11,52
2007-12,56
2008-01,83
2008-02,74
2008-03,76
2008-04,67
2008-05,72
2008-06,80
2008-07,80
2008-08,62
2008-09,45
2008-10,47
2008-11,46
2008-12,52
2009-01,77
2009-02,68
2009-03,68
2009-04,63
2009-05,66
2009-06,79
2009-07,81
2009-08,63
2009-09,46
2009-10,45
2009-11,46
2009-12,54
2010-01,72
2010-02,66
2010-03,67
2010-04,59
2010-05,67
2010-06,79
2010-07,68
2010-08,54
2010-09,40
2010-10,36
2010-11,38
2010-12,46
2011-01,67
2011-02,62
2011-03,62
2011-04,54
2011-05,59
2011-06,71
2011-07,69
2011-08,57
2011-09,41
2011-10,38
2011-11,42
2011-12,49
2012-01,62
2012-02,57
2012-03,54
2012-04,53
2012-05,55
2012-06,64
2012-07,63
2012-08,49
2012-09,38
2012-10,32
2012-11,35
2012-12,50
2013-01,59
2013-02,52
2013-03,53
2013-04,49
2013-05,52
2013-06,60
2013-07,60
2013-08,48
2013-09,36
2013-10,34
2013-11,36
2013-12,48
2014-01,57
2014-02,52
2014-03,56
2014-04,49
2014-05,53
2014-06,61
2014-07,62
2014-08,46
2014-09,38
2014-10,35
2014-11,39
2014-12,53
2015-01,55
2015-02,52
2015-03,54
2015-04,50
2015-05,54
2015-06,64
2015-07,73
2015-08,70
2015-09,43
2015-10,39
2015-11,44
2015-12,54
2016-01,58
2016-02,54
2016-03,56
2016-04,53
2016-05,54
2016-06,62
2016-07,65
2016-08,48
2016-09,38
2016-10,38
2016-11,39
2016-12,54
2017-01,57
2017-02,55
2017-03,53
2017-04,53
2017-05,53
2017-06,63
2017-07,64
2017-08,48
2017-09,38
2017-10,37
2017-11,42
2017-12,56
2018-01,54
2018-02,52
2018-03,49
2018-04,53
2018-05,50
2018-06,60
2018-07,61
2018-08,48
2018-09,39
2018-10,35
2018-11,40
2018-12,55
2019-01,52
2019-02,49
2019-03,49
2019-04,44
2019-05,46
2019-06,55
2019-07,53
2019-08,45
2019-09,37
2019-10,35
2019-11,42
2019-12,59
2020-01,54
2020-02,50
2020-03,33
2020-04,25
2020-05,40
2020-06,55
2020-07,52
2020-08,42
2020-09,35
2020-10,32
2020-11,36
2020-12,55
2021-01,42
2021-02,45
2021-03,54
2021-04,54
2021-05,59
2021-06,60
2021-07,57
2021-08,47
2021-09,41
2021-10,41
2021-11,45
2021-12,58
2022-01,53
2022-02,52
2022-03,51
2022-04,46
2022-05,48
2022-06,54
2022-07,55
2022-08,47
2022-09,38
2022-10,35
2022-11,41
2022-12,57
2023-01,49
2023-02,45
2023-03,44
2023-04,41
2023-05,43
2023-06,50
2023-07,51
2023-08,45
2023-09,35
2023-10,31
2023-11,40
2023-12,53
2024-01,44
2024-02,41
2024-03,41
