Month,residential million kilowatthours
Oct 2022,
Aug 2022,129241.3183
Jul 2022,160271.46691
Jul 2022,
Jul 2022,
Jun 2022,164276.57789
May 2022,136310.28781
May 2022,
May 2022,
Apr 2022,110070.73408
Mar 2022,97431.84407
Mar 2022,
Mar 2022,
Feb 2022,111438.58992
Jan 2022,125342.30282
Dec 2021,140504.06917
Dec 2021,
Dec 2021,
Nov 2021,117695.50509
Oct 2021,100590.96639
Oct 2021,
Oct 2021,
Sep 2021,103992.2144
Aug 2021,131111.30373
Jul 2021,157791.77207
Jul 2021,
Jul 2021,
Jun 2021,154494.57173
May 2021,132153.48565
May 2021,
May 2021,
Apr 2021,101160.29411
Mar 2021,93890.87998
Mar 2021,
Mar 2021,
Feb 2021,114373.98006
Jan 2021,126549.55737
Dec 2020,136682.35148
Dec 2020,
Dec 2020,
Nov 2020,129760.75834
Oct 2020,99660.93654
Oct 2020,
Oct 2020,
Sep 2020,105513.9361
Aug 2020,127823.89319
Jul 2020,158939.14743
Jul 2020,
Jul 2020,
Jun 2020,167108.14157
May 2020,131538.05061
May 2020,
May 2020,
Apr 2020,105680.94308
Mar 2020,97759.20304
Mar 2020,
Mar 2020,
Feb 2020,104254.94269
Jan 2020,112122.8819
Dec 2019,124442.2113
Dec 2019,
Dec 2019,
Nov 2019,121078.07664
Oct 2019,102452.92208
Oct 2019,
Oct 2019,
Sep 2019,107997.2082
Aug 2019,131566.72667
Jul 2019,150083.05574
Jul 2019,
Jul 2019,
Jun 2019,153748.88906
May 2019,120116.16993
May 2019,
May 2019,
Apr 2019,100331.07128
Mar 2019,90383.8218
Mar 2019,
Mar 2019,
Feb 2019,112605.41506
Jan 2019,116608.00237
Dec 2018,133317.55017
Dec 2018,
Dec 2018,
Nov 2018,123180.40374
Oct 2018,103789.9565
Oct 2018,
Oct 2018,
Sep 2018,107048.75285
Aug 2018,128909.79255
Jul 2018,153496.49426
Jul 2018,
Jul 2018,
Jun 2018,153566.05021
May 2018,129912.8992
May 2018,
May 2018,
Apr 2018,103847.99899
Mar 2018,95453.61577
Mar 2018,
Mar 2018,
Feb 2018,107218.43099
Jan 2018,113751.28019
Dec 2017,148917.3837
Dec 2017,
Dec 2017,
Nov 2017,122004.61658
Oct 2017,98320.56549
Oct 2017,
Oct 2017,
Sep 2017,102811.04302
Aug 2017,118778.78233
Jul 2017,142007.16653
Jul 2017,
Jul 2017,
Jun 2017,149900.48178
May 2017,122543.16906
May 2017,
May 2017,
Apr 2017,98281.15882
Mar 2017,90724.50386
Mar 2017,
Mar 2017,
Feb 2017,103095.52026
Jan 2017,100968.2357
Dec 2016,129212.49867
Dec 2016,
Dec 2016,
Nov 2016,121280.85551
Oct 2016,93244.09126
Oct 2016,
Oct 2016,
Sep 2016,101507.96582
Aug 2016,129362.93162
Jul 2016,156441.5236
Jul 2016,
Jul 2016,
Jun 2016,154409.32698
May 2016,125211.23945
May 2016,
May 2016,
Apr 2016,94198.0297
Mar 2016,88244.34036
Mar 2016,
Mar 2016,
Feb 2016,100226.57541
Jan 2016,115959.425
Dec 2015,130971.84829
Dec 2015,
Dec 2015,
Nov 2015,111670.43689
Oct 2015,92677.74922
Oct 2015,
Oct 2015,
Sep 2015,99349.04737
Aug 2015,125416.66628
Jul 2015,144515.14459
Jul 2015,
Jul 2015,
Jun 2015,146038.29057
May 2015,120299.75351
May 2015,
May 2015,
Apr 2015,95160.53288
Mar 2015,90199.18738
Mar 2015,
Mar 2015,
Feb 2015,117167.11068
Jan 2015,123837.72058
Dec 2014,137764.85879
Dec 2014,
Dec 2014,
